"Title_id";"Movie_title";"Genre";"Duration";"Country";"Rating";"Director";"Score";"Release_date";"Income";"Votes"
"tt7286456";"Joker";"Crime, Drama, Thriller";"122 mins";"USA";"Unrated";"Todd Phillips";"8.4";"2019-10-03";"$1,074,251,311";"855,097"
"tt1675434";"Intouchables";"Biography, Comedy, Drama";"112 mins";"France";"Unrated";"Olivier Nakache, Éric Toledano";"8.4";"2012-02-24";"$426,588,510";"736,691"
"tt0253474";"The Pianist";"Biography, Drama, Music";"150 mins";"UK";"R";"Roman Polanski";"8.4";"2002-10-25";"$120,072,577";"707,942"
"tt2582802";"Whiplash";"Drama, Music";"106 mins";"USA";"R";"Damien Chazelle";"8.4";"2015-02-12";"$48,983,260";"690,732"
"tt0054215";"Psycho";"Horror, Mystery, Thriller";"109 mins";"USA";"R";"Alfred Hitchcock";"8.3";"1960-10-28";"$32,008,644";"586,765"
"tt0034583";"Casablanca";"Drama, Romance, War";"102 mins";"USA";"PG";"Michael Curtiz";"8.3";"1946-11-21";"$4,374,761";"509,953"
"tt0064116";"C'era una volta il West";"Western";"165 mins";"Italy";"PG-13";"Sergio Leone";"8.3";"1968-12-21";"$112,911";"295,220"
"tt0095327";"Hotaru no haka";"Animation, Drama, War";"89 mins";"Japan";"Unrated";"Isao Takahata";"8.3";"2015-10-11";"$516,962";"225,438"
"tt0095765";"Nuovo Cinema Paradiso";"Drama";"155 mins";"Italy";"Unrated";"Giuseppe Tornatore";"8.3";"1988-11-17";"$13,826,605";"223,050"
"tt0027977";"Modern Times";"Comedy, Drama, Family";"87 mins";"USA";"G";"Charles Chaplin";"8.3";"1937-03-12";"$457,688";"211,250"
